1661297400000,21555.38000000,21564.43000000,21505.25000000,21508.08000000,388.60740000,1661298299999,8368983.56644520,8356,202.19099000,4354550.55173080,0
1661298300000,21508.07000000,21562.30000000,21496.15000000,21526.15000000,428.06879000,1661299199999,9213393.43684860,8405,216.12268000,4651913.27501450,0
1661299200000,21526.17000000,21554.98000000,21493.08000000,21544.11000000,476.54929000,1661300099999,10258252.03196520,9765,240.08001000,5168233.91901770,0
1661300100000,21544.11000000,21548.60000000,21449.27000000,21456.62000000,696.82176000,1661300999999,14972329.10087110,12795,326.24696000,7010197.28977740,0
1661301000000,21456.01000000,21515.00000000,21333.43000000,21355.62000000,1458.15548000,1661301899999,31206823.46895600,23390,714.22442000,15286868.83662210,0
1661301900000,21353.45000000,21439.16000000,21333.33000000,21387.12000000,609.78277000,1661302799999,13041739.78392980,11852,317.00507000,6779831.18034430,0
1661302800000,21386.66000000,21420.33000000,21364.42000000,21404.00000000,533.32053000,1661303699999,11408775.27535230,10415,270.93395000,5795904.15408900,0
1661303700000,21404.06000000,21429.49000000,21308.00000000,21340.04000000,671.50839000,1661304599999,14340020.44490220,12714,317.08109000,6771653.06442260,0
1661304600000,21341.00000000,21379.50000000,21240.00000000,21270.00000000,731.76761000,1661305499999,15598838.88023860,13115,338.85801000,7222854.07179550,0
1661305500000,21270.16000000,21275.40000000,21167.97000000,21261.54000000,1348.98090000,1661306399999,28626461.81074310,21321,621.28543000,13185001.19402440,0
1661306400000,21261.77000000,21367.38000000,21257.73000000,21304.69000000,891.25300000,1661307299999,18997411.36652780,16192,434.52489000,9262239.32072110,0
1661307300000,21305.96000000,21351.34000000,21303.35000000,21314.66000000,343.29724000,1661308199999,7319057.95467230,6170,179.95801000,3836826.43942730,0
1661308200000,21314.68000000,21331.37000000,21161.46000000,21183.60000000,1037.96124000,1661309099999,22045209.10266670,16780,513.06758000,10899800.71982240,0
1661309100000,21183.99000000,21214.81000000,21146.66000000,21198.75000000,591.28244000,1661309999999,12527236.71712050,10376,305.03337000,6463050.22110230,0
1661310000000,21199.71000000,21244.50000000,21166.88000000,21180.25000000,671.27718000,1661310899999,14235174.55675030,11006,317.64166000,6736269.25946480,0
1661310900000,21179.21000000,21243.99000000,21176.35000000,21237.73000000,420.13457000,1661311799999,8915547.54942680,7400,222.40573000,4719856.78091380,0
1661311800000,21237.73000000,21274.44000000,21231.71000000,21243.00000000,398.69562000,1661312699999,8472921.87848920,7449,203.89601000,4333252.29539820,0
1661312700000,21243.61000000,21291.64000000,21230.00000000,21262.74000000,623.77756000,1661313599999,13264348.39477510,8894,313.46984000,6666256.81903790,0
1661313600000,21261.88000000,21273.77000000,21236.38000000,21255.62000000,317.96065000,1661314499999,6757306.48373320,5866,156.25695000,3320838.51999710,0
1661314500000,21255.62000000,21290.63000000,21251.40000000,21265.86000000,490.60024000,1661315399999,10437180.48922030,7344,212.20820000,4514844.90870470,0
1661315400000,21266.00000000,21313.23000000,21236.46000000,21298.24000000,453.53789000,1661316299999,9646892.90024530,7730,261.30323000,5558254.22015670,0
1661316300000,21298.67000000,21358.88000000,21275.92000000,21329.73000000,489.28367000,1661317199999,10431353.62257440,10147,223.06167000,4755844.40422320,0
1661317200000,21329.99000000,21355.32000000,21313.05000000,21336.97000000,548.24276000,1661318099999,11699122.13208060,8876,267.53105000,5709250.73752540,0
1661318100000,21337.06000000,21441.17000000,21330.00000000,21438.68000000,1226.52754000,1661318999999,26238528.31352010,16773,704.58981000,15073536.05852200,0
1661319000000,21438.69000000,21504.68000000,21406.28000000,21469.96000000,966.39125000,1661319899999,20744090.98754480,15786,491.73699000,10556450.96381410,0
